name,cost,duration_days,prepayment
Интеграция системы аутентификации под ключ,89000.00,10,24000.00
Оптимизация веб-приложения (SaaS),89000.00,10,26800.00
Сопровождение веб-приложения (MVP),89000.00,6,41900.00
Сопровождение ERP-системы (Enterprise),89000.00,10,42800.00
Тестирование микросервисной архитектуры (Enterprise),89500.00,7,22400.00
Сопровождение ERP-системы,90000.00,10,41600.00
Настройка платёжного модуля с нуля,91000.00,10,36500.00
Настройка сети доставки контента (MVP),91500.00,8,41500.00
Сопровождение облачной инфраструктуры,93500.00,8,30000.00
Миграция системы управления задачами,93500.00,8,34100.00
Аудит CRM-системы (MVP),93500.00,11,46200.00
Внедрение платёжного модуля,94000.00,9,37200.00
Тестирование системы аналитики на основе существующего решения,95000.00,12,25400.00
Оптимизация ERP-системы (SaaS),95000.00,10,35600.00
Аудит чат-бота на основе существующего решения,95000.00,10,37500.00
Настройка системы управления задачами под ключ,95000.00,7,39900.00
Аудит системы резервного копирования,96000.00,9,31100.00
Настройка нагрузочного тестирования (POC),96500.00,12,25200.00
Настройка CRM-системы (MVP),99000.00,11,36400.00
Настройка чат-бота с нуля,99000.00,8,44200.00
Сопровождение нагрузочного тестирования на основе существующего решения,99500.00,12,30600.00
Сопровождение нагрузочного тестирования (MVP),99500.00,10,37800.00
Настройка микросервисной архитектуры с нуля,100000.00,10,44400.00
Оптимизация нагрузочного тестирования под ключ,100500.00,13,34700.00
Тестирование DevOps-пайплайна (POC),100500.00,12,45500.00
Аудит облачной инфраструктуры,101000.00,7,26100.00
Сопровождение чат-бота под ключ,101000.00,11,38600.00
Тестирование CRM-системы (POC),101500.00,13,34200.00
Настройка системы аутентификации (SaaS),101500.00,8,45000.00
Настройка микросервисной архитектуры (POC),102000.00,12,29500.00
Аудит мобильного приложения под ключ,102000.00,12,44500.00
Тестирование мобильного приложения (POC),102000.00,8,49700.00
Проектирование веб-приложения (MVP),102500.00,11,34600.00
Тестирование корпоративного портала (SaaS),102500.00,12,38100.00
Сопровождение системы резервного копирования (POC),102500.00,12,42100.00
Проектирование сети доставки контента (MVP),103000.00,10,51400.00
Настройка микросервисной архитектуры (Enterprise),104000.00,10,38300.00
Тестирование ERP-системы (POC),104500.00,11,30400.00
Тестирование ERP-системы с нуля,105500.00,10,26500.00
Настройка сети доставки контента,105500.00,7,39700.00
Аудит веб-приложения под ключ,105500.00,9,47000.00
Интеграция чат-бота (MVP),107000.00,13,34300.00
Сопровождение веб-приложения (Enterprise),108000.00,9,38500.00
Миграция DevOps-пайплайна на основе существующего решения,108500.00,13,32200.00
Оптимизация базы данных под ключ,109000.00,8,42700.00
Сопровождение панели администратора с нуля,110500.00,9,34500.00
Сопровождение DevOps-пайплайна на основе существующего решения,111500.00,9,31100.00
Тестирование корпоративного портала (POC),113000.00,10,53500.00
Сопровождение микросервисной архитектуры (POC),113500.00,15,34100.00
Интеграция DevOps-пайплайна (MVP),113500.00,14,47300.00
Сопровождение системы управления задачами (MVP),114000.00,9,45900.00
Настройка сети доставки контента с нуля,114500.00,9,35000.00
Аудит системы аутентификации,114500.00,8,36400.00
Сопровождение ERP-системы с нуля,114500.00,9,45200.00
Сопровождение системы аналитики с нуля,115000.00,8,41500.00
Аудит чат-бота (MVP),116000.00,15,39100.00
Проектирование сети доставки контента,116500.00,11,52800.00
Тестирование корпоративного портала под ключ,117500.00,13,40600.00
Аудит корпоративного портала (POC),117500.00,13,45400.00
Сопровождение микросервисной архитектуры на основе существующего решения,118500.00,9,47800.00
Настройка CRM-системы (POC),118500.00,13,52600.00
Миграция базы данных с нуля,119500.00,12,51000.00
Проектирование мобильного приложения с нуля,120000.00,15,42800.00
Аудит микросервисной архитектуры (SaaS),120000.00,12,48100.00
Внедрение системы управления задачами,120500.00,14,32200.00
Сопровождение нагрузочного тестирования под ключ,120500.00,14,42400.00
Тестирование системы аутентификации (SaaS),120500.00,9,56100.00
Интеграция веб-приложения,121000.00,9,35800.00
Развёртывание CRM-системы с нуля,121500.00,13,40300.00
Настройка корпоративного портала (Enterprise),122500.00,9,46800.00
Сопровождение системы аналитики (MVP),123500.00,11,35000.00
Развёртывание системы аналитики,123500.00,14,50500.00
Аудит корпоративного портала (POC),124500.00,16,45800.00
Сопровождение API-сервиса под ключ,125000.00,16,54500.00
Оптимизация базы данных (SaaS),125000.00,13,56200.00
Настройка корпоративного портала,125500.00,12,58400.00
Оптимизация системы управления задачами (POC),126000.00,11,44900.00
Развёртывание корпоративного портала (Enterprise),126000.00,14,45800.00
Оптимизация сети доставки контента под ключ,126000.00,10,59400.00
Разработка системы резервного копирования под ключ,126500.00,15,48700.00
Проектирование платёжного модуля под ключ,126500.00,12,50800.00
Настройка системы аутентификации под ключ,127000.00,13,45200.00
Тестирование базы данных (MVP),127500.00,12,48900.00
Проектирование платёжного модуля на основе существующего решения,128000.00,12,32900.00
Настройка ERP-системы (POC),128000.00,16,38200.00
Настройка нагрузочного тестирования с нуля,128500.00,16,57300.00
Тестирование ERP-системы под ключ,128500.00,10,63900.00
Тестирование корпоративного портала (SaaS),129000.00,10,54700.00
Тестирование системы аутентификации с нуля,129500.00,14,45600.00
Сопровождение сети доставки контента с нуля,129500.00,14,46100.00
Сопровождение платёжного модуля на основе существующего решения,129500.00,9,49500.00
Настройка системы аналитики (MVP),131500.00,17,46400.00
Сопровождение системы управления задачами,132000.00,9,43300.00
Настройка платёжного модуля,132500.00,10,38200.00
Сопровождение сети доставки контента (Enterprise),132500.00,12,55500.00
Аудит нагрузочного тестирования под ключ,132500.00,10,58800.00
Оптимизация нагрузочного тестирования с нуля,132500.00,15,63800.00
Настройка корпоративного портала (Enterprise),133500.00,16,47400.00
Тестирование чат-бота (Enterprise),134000.00,16,65600.00
Настройка ERP-системы (MVP),134500.00,13,41800.00
Аудит нагрузочного тестирования (Enterprise),135000.00,13,42100.00
Настройка мобильного приложения (SaaS),135000.00,14,59900.00
Сопровождение сети доставки контента (Enterprise),135500.00,14,47700.00
Сопровождение сети доставки контента (SaaS),137000.00,13,35500.00
Тестирование платёжного модуля с нуля,137000.00,15,62400.00
Сопровождение API-сервиса (Enterprise),138000.00,13,42900.00
Настройка платёжного модуля на основе существующего решения,139500.00,10,39300.00
Миграция системы аутентификации (Enterprise),140000.00,10,55000.00
Проектирование мобильного приложения с нуля,140000.00,15,56700.00
Сопровождение системы мониторинга на основе существующего решения,140000.00,12,69000.00
Внедрение корпоративного портала на основе существующего решения,140500.00,13,42300.00
Развёртывание корпоративного портала с нуля,140500.00,11,60500.00
Тестирование корпоративного портала (POC),140500.00,11,63700.00
Сопровождение нагрузочного тестирования на основе существующего решения,140500.00,14,67800.00
Сопровождение нагрузочного тестирования (MVP),141000.00,13,46100.00
Интеграция платёжного модуля,141000.00,13,56900.00
Разработка корпоративного портала (POC),141500.00,13,41700.00
Настройка системы аутентификации (POC),142000.00,12,37800.00
Тестирование платёжного модуля под ключ,143000.00,17,38300.00
Оптимизация платёжного модуля,143500.00,18,37900.00
Настройка системы аутентификации на основе существующего решения,143500.00,14,47700.00
Сопровождение платёжного модуля (SaaS),144500.00,10,65000.00
Сопровождение системы аналитики,145000.00,15,43300.00
Настройка нагрузочного тестирования (MVP),145000.00,17,71200.00
Аудит мобильного приложения под ключ,146000.00,19,37800.00
Аудит облачной инфраструктуры на основе существующего решения,146500.00,16,37600.00
Сопровождение сети доставки контента под ключ,146500.00,15,58900.00
Проектирование чат-бота с нуля,146500.00,13,63900.00
Сопровождение CRM-системы (Enterprise),146500.00,12,72000.00
Интеграция системы аутентификации под ключ,147000.00,15,69500.00
Аудит платёжного модуля (SaaS),147500.00,16,46700.00
Проектирование облачной инфраструктуры с нуля,148000.00,18,56700.00
Сопровождение платёжного модуля под ключ,148000.00,17,60400.00
Настройка панели администратора,148000.00,16,72500.00
Сопровождение нагрузочного тестирования под ключ,148000.00,10,73600.00
Сопровождение системы мониторинга (Enterprise),148500.00,13,38600.00
Развёртывание системы мониторинга (SaaS),149000.00,13,60100.00
Оптимизация API-сервиса (POC),150000.00,18,58900.00
Тестирование ERP-системы (Enterprise),150000.00,13,67400.00
Тестирование корпоративного портала (MVP),152500.00,18,64100.00
Проектирование сети доставки контента с нуля,152500.00,17,66200.00
Настройка чат-бота (MVP),152500.00,12,73100.00
Тестирование платёжного модуля (POC),153000.00,13,52100.00
Настройка облачной инфраструктуры на основе существующего решения,153500.00,13,76500.00
Тестирование облачной инфраструктуры (MVP),154500.00,20,57900.00
Настройка панели администратора,155000.00,18,46700.00
Аудит системы мониторинга (MVP),155500.00,12,44600.00
Внедрение CRM-системы под ключ,155500.00,14,60900.00
Тестирование корпоративного портала под ключ,155500.00,18,75600.00
Развёртывание платёжного модуля под ключ,156000.00,17,62100.00
Оптимизация сети доставки контента под ключ,158500.00,18,65000.00
Оптимизация API-сервиса с нуля,159000.00,16,65200.00
Настройка системы управления задачами (SaaS),160000.00,19,78400.00
Настройка системы аутентификации под ключ,161500.00,20,51000.00
Проектирование микросервисной архитектуры (Enterprise),161500.00,19,64700.00
Аудит системы резервного копирования (MVP),162000.00,19,56700.00
Настройка ERP-системы под ключ,163500.00,21,62100.00
Миграция системы резервного копирования (POC),163500.00,15,69400.00
Тестирование веб-приложения (POC),164000.00,20,60200.00
Настройка микросервисной архитектуры (SaaS),165000.00,15,52500.00
Разработка системы аутентификации (MVP),166000.00,16,69100.00
Оптимизация CRM-системы (Enterprise),166500.00,18,76500.00
Тестирование системы мониторинга,167000.00,16,76500.00
Развёртывание системы мониторинга с нуля,169000.00,13,73600.00
Настройка системы резервного копирования,170000.00,16,62600.00
Тестирование мобильного приложения с нуля,170000.00,22,70300.00
Оптимизация системы аутентификации на основе существующего решения,170500.00,13,52500.00
Настройка облачной инфраструктуры на основе существующего решения,171000.00,13,68300.00
Настройка ERP-системы (Enterprise),171500.00,21,59700.00
Развёртывание веб-приложения (Enterprise),171500.00,22,61900.00
Миграция микросервисной архитектуры с нуля,171500.00,17,63000.00
Проектирование веб-приложения (MVP),172500.00,15,72900.00
Настройка системы аутентификации на основе существующего решения,174000.00,15,56800.00
Интеграция сети доставки контента (POC),174000.00,14,84000.00
Развёртывание системы аутентификации с нуля,175000.00,15,73400.00
Тестирование микросервисной архитектуры (MVP),175500.00,17,68300.00
Оптимизация нагрузочного тестирования с нуля,176000.00,16,44400.00
Настройка DevOps-пайплайна (MVP),176000.00,19,77400.00
Оптимизация CRM-системы на основе существующего решения,177000.00,16,69900.00
Оптимизация чат-бота на основе существующего решения,177000.00,20,85700.00
Тестирование корпоративного портала с нуля,178500.00,18,75100.00
Настройка системы аналитики,179000.00,20,82200.00
Тестирование базы данных (MVP),180000.00,20,45300.00
Оптимизация системы резервного копирования под ключ,180000.00,20,49300.00
Тестирование API-сервиса под ключ,180500.00,23,69800.00
Настройка нагрузочного тестирования (SaaS),181000.00,20,75100.00
Аудит корпоративного портала (Enterprise),182000.00,22,71700.00
Развёртывание микросервисной архитектуры на основе существующего решения,182500.00,24,67200.00
Настройка системы мониторинга (POC),182500.00,14,82100.00
Настройка системы управления задачами (MVP),183000.00,23,52100.00
Тестирование ERP-системы (Enterprise),184000.00,23,63100.00
Настройка системы управления задачами с нуля,184000.00,15,65600.00
Проектирование чат-бота (Enterprise),184000.00,21,90600.00
Развёртывание сети доставки контента (MVP),185000.00,21,74900.00
Развёртывание API-сервиса (SaaS),185500.00,17,50400.00
Миграция нагрузочного тестирования (MVP),185500.00,13,56700.00
Аудит системы резервного копирования,186000.00,16,86500.00
Оптимизация нагрузочного тестирования (SaaS),186500.00,18,46600.00
Настройка мобильного приложения,187000.00,19,50500.00
Внедрение DevOps-пайплайна (MVP),187000.00,18,73700.00
Миграция CRM-системы (MVP),187500.00,16,78600.00
Настройка облачной инфраструктуры (POC),188000.00,17,47700.00
Настройка облачной инфраструктуры на основе существующего решения,188000.00,21,51700.00
Настройка системы аутентификации под ключ,188000.00,24,86800.00
Интеграция панели администратора на основе существующего решения,188500.00,23,59300.00
Настройка платёжного модуля под ключ,188500.00,18,64800.00
Миграция API-сервиса (POC),189000.00,16,66200.00
Аудит системы резервного копирования,189000.00,16,75800.00
Оптимизация API-сервиса (SaaS),189000.00,13,81100.00
Тестирование системы аутентификации (SaaS),189500.00,14,85700.00
Оптимизация системы резервного копирования (SaaS),190000.00,16,62600.00
Настройка веб-приложения под ключ,190500.00,22,89800.00
Оптимизация базы данных,191500.00,18,77400.00
Настройка платёжного модуля (POC),192000.00,23,56400.00
Аудит системы аналитики на основе существующего решения,192500.00,18,66500.00
Настройка API-сервиса на основе существующего решения,194000.00,17,70000.00
Тестирование микросервисной архитектуры под ключ,196000.00,21,76700.00
Аудит нагрузочного тестирования (Enterprise),196500.00,18,66100.00
Настройка базы данных на основе существующего решения,197500.00,19,95900.00
Аудит системы аналитики,198000.00,24,71100.00
Тестирование CRM-системы (SaaS),198000.00,14,71900.00
Развёртывание CRM-системы (POC),199000.00,19,51400.00
Развёртывание системы мониторинга (Enterprise),200500.00,18,90000.00
Тестирование корпоративного портала (SaaS),202000.00,26,64700.00
Аудит системы аутентификации на основе существующего решения,202000.00,18,86800.00
Тестирование мобильного приложения с нуля,202500.00,20,62200.00
Внедрение корпоративного портала (Enterprise),203000.00,26,75900.00
Тестирование системы аутентификации,204000.00,26,99000.00
Оптимизация API-сервиса (SaaS),205500.00,22,53100.00
Оптимизация мобильного приложения,208000.00,25,62700.00
Тестирование CRM-системы (MVP),208500.00,22,104100.00
Оптимизация системы аналитики под ключ,212000.00,17,76700.00
Разработка базы данных (MVP),212000.00,24,81600.00
Оптимизация платёжного модуля (POC),213500.00,18,57600.00
Миграция системы резервного копирования (Enterprise),213500.00,16,94700.00
Тестирование чат-бота (Enterprise),214000.00,16,69500.00
Аудит API-сервиса на основе существующего решения,214000.00,19,97100.00
Оптимизация системы резервного копирования (Enterprise),215000.00,19,97800.00
Интеграция системы аналитики с нуля,215000.00,25,104900.00
Тестирование микросервисной архитектуры (Enterprise),216000.00,16,98800.00
Аудит системы управления задачами,216500.00,27,98100.00
Тестирование системы резервного копирования (POC),217000.00,19,102100.00
Развёртывание нагрузочного тестирования (MVP),218000.00,24,73900.00
Аудит платёжного модуля (POC),218000.00,16,106400.00
Оптимизация панели администратора на основе существующего решения,219000.00,21,72800.00
Оптимизация панели администратора,219000.00,21,106100.00
Аудит DevOps-пайплайна на основе существующего решения,220000.00,27,61000.00
Тестирование системы мониторинга (POC),220500.00,21,57900.00
Оптимизация чат-бота,224000.00,25,103200.00
Внедрение панели администратора,224500.00,23,72100.00
Развёртывание API-сервиса (SaaS),226000.00,18,63600.00
Интеграция чат-бота (Enterprise),226500.00,19,74500.00
Миграция системы аутентификации с нуля,228000.00,24,78300.00
Тестирование корпоративного портала на основе существующего решения,228000.00,17,99500.00
Оптимизация платёжного модуля под ключ,228000.00,28,109100.00
Миграция платёжного модуля с нуля,228500.00,29,109800.00
Оптимизация API-сервиса (POC),228500.00,22,113700.00
Проектирование базы данных (Enterprise),230500.00,26,98800.00
Развёртывание системы мониторинга,231000.00,29,58100.00
