name,cost,duration_days,prepayment
Аудит системы управления задачами на основе существующего решения,250500.00,26,71100.00
Внедрение CRM-системы (SaaS),1351000.00,123,634400.00
Миграция панели администратора с нуля,425500.00,36,177000.00
Интеграция платёжного модуля (MVP),1195000.00,108,531200.00
Внедрение корпоративного портала (MVP),837000.00,77,333100.00
Консультация ERP-системы под ключ,16000.00,1,5100.00
Разработка API-сервиса под ключ,136000.00,10,53700.00
Тестирование мобильного приложения под ключ,127500.00,10,44000.00
Внедрение корпоративного портала (SaaS),146000.00,11,51300.00
Консультация веб-приложения,58500.00,7,23300.00
Оптимизация системы аналитики (Enterprise),439000.00,54,218800.00
Сопровождение DevOps-пайплайна (SaaS),115500.00,10,46900.00
Сопровождение API-сервиса с нуля,133000.00,16,35700.00
Аудит нагрузочного тестирования,221500.00,17,73800.00
Оптимизация API-сервиса на основе существующего решения,472000.00,52,169700.00
Внедрение сети доставки контента,587500.00,68,168100.00
Миграция облачной инфраструктуры (Enterprise),228500.00,16,71400.00
Настройка сети доставки контента на основе существующего решения,189000.00,15,79900.00
Внедрение сети доставки контента (SaaS),1465000.00,114,619100.00
Настройка CRM-системы под ключ,87500.00,8,27500.00
Развёртывание CRM-системы (MVP),314500.00,23,110200.00
Миграция сети доставки контента под ключ,194500.00,20,79400.00
Оптимизация системы аналитики на основе существующего решения,139500.00,12,68300.00
Развёртывание базы данных (SaaS),300000.00,39,136600.00
Тестирование платёжного модуля,373500.00,44,98200.00
Миграция ERP-системы с нуля,541500.00,46,187600.00
Консультация системы мониторинга (SaaS),44500.00,5,21500.00
Развёртывание ERP-системы,200500.00,20,96600.00
Проектирование системы аналитики (Enterprise),366500.00,42,108300.00
Внедрение микросервисной архитектуры с нуля,505000.00,63,133700.00
Настройка CRM-системы на основе существующего решения,185500.00,13,70900.00
Настройка системы мониторинга под ключ,37500.00,4,15800.00
Внедрение DevOps-пайплайна (MVP),1166000.00,151,294700.00
Аудит платёжного модуля (Enterprise),262000.00,24,92400.00
Аудит CRM-системы на основе существующего решения,214000.00,23,54600.00
Внедрение ERP-системы (Enterprise),1224000.00,97,342900.00
Миграция сети доставки контента (Enterprise),712000.00,63,233200.00
Настройка облачной инфраструктуры (POC),196500.00,23,62100.00
Миграция API-сервиса на основе существующего решения,867500.00,89,353800.00
Проектирование корпоративного портала (Enterprise),417500.00,31,205600.00
Миграция базы данных (MVP),58000.00,6,19300.00
Сопровождение веб-приложения (SaaS),13500.00,1,3900.00
Развёртывание веб-приложения (MVP),338000.00,28,94000.00
Тестирование чат-бота (Enterprise),337000.00,34,150400.00
Сопровождение облачной инфраструктуры на основе существующего решения,145500.00,12,39200.00
Аудит веб-приложения (Enterprise),130500.00,11,43200.00
Оптимизация системы резервного копирования (SaaS),413500.00,42,121300.00
Проектирование системы аналитики (Enterprise),566000.00,72,257100.00
Настройка CRM-системы (MVP),151500.00,15,74100.00
Интеграция DevOps-пайплайна (POC),77000.00,6,21700.00
Оптимизация веб-приложения,29000.00,3,10900.00
Оптимизация корпоративного портала на основе существующего решения,43500.00,4,13600.00
Настройка сети доставки контента (POC),196000.00,18,53000.00
Консультация веб-приложения на основе существующего решения,41000.00,4,18500.00
Консультация системы аналитики (SaaS),5000.00,1,1400.00
Тестирование веб-приложения (MVP),318500.00,35,94000.00
Внедрение системы аналитики (SaaS),101500.00,9,26300.00
Оптимизация базы данных (SaaS),412000.00,48,133300.00
Аудит CRM-системы под ключ,298500.00,25,78100.00
Проектирование мобильного приложения с нуля,152500.00,12,49900.00
Проектирование корпоративного портала с нуля,551500.00,70,264400.00
Тестирование панели администратора (SaaS),162000.00,16,71700.00
Консультация платёжного модуля (Enterprise),12000.00,1,4800.00
Настройка системы аналитики (POC),144000.00,16,55000.00
Аудит системы аналитики,94500.00,10,33900.00
Внедрение платёжного модуля,353000.00,45,133200.00
Интеграция системы аналитики на основе существующего решения,1166500.00,98,353400.00
Проектирование чат-бота с нуля,659500.00,73,301600.00
Разработка микросервисной архитектуры (MVP),193500.00,22,50900.00
Тестирование системы резервного копирования (POC),246000.00,23,82900.00
Внедрение системы мониторинга (Enterprise),1333000.00,121,511500.00
Оптимизация DevOps-пайплайна (POC),88000.00,9,43900.00
Тестирование нагрузочного тестирования,365500.00,35,156700.00
Развёртывание панели администратора под ключ,578000.00,67,220400.00
Аудит системы аналитики (Enterprise),117000.00,12,35300.00
Развёртывание DevOps-пайплайна (Enterprise),222500.00,23,77600.00
Внедрение микросервисной архитектуры (Enterprise),882000.00,81,263700.00
Внедрение чат-бота на основе существующего решения,1192500.00,125,575400.00
Консультация мобильного приложения (Enterprise),58000.00,7,16000.00
Разработка сети доставки контента на основе существующего решения,290000.00,26,98600.00
Внедрение нагрузочного тестирования с нуля,391500.00,40,102900.00
Разработка системы аутентификации (POC),1674000.00,150,835200.00
Разработка нагрузочного тестирования под ключ,1111000.00,124,367400.00
Оптимизация платёжного модуля на основе существующего решения,101000.00,7,27000.00
Разработка корпоративного портала,737500.00,56,351300.00
Сопровождение веб-приложения (SaaS),20500.00,2,9900.00
Разработка ERP-системы с нуля,267000.00,32,105200.00
Развёртывание API-сервиса (POC),31500.00,3,12500.00
Проектирование веб-приложения (SaaS),298500.00,34,137200.00
Внедрение нагрузочного тестирования (MVP),555000.00,71,193300.00
Консультация системы аутентификации (POC),47000.00,5,19300.00
Аудит системы аутентификации под ключ,245500.00,24,107200.00
Консультация системы аутентификации (Enterprise),19000.00,2,8200.00
Тестирование облачной инфраструктуры (SaaS),302500.00,27,142000.00
Разработка микросервисной архитектуры под ключ,1111000.00,132,530900.00
Тестирование системы аналитики с нуля,205000.00,21,87800.00
Настройка DevOps-пайплайна,18000.00,2,7400.00
Проектирование сети доставки контента под ключ,778000.00,59,282400.00
Аудит микросервисной архитектуры на основе существующего решения,23500.00,3,10500.00
Развёртывание системы аналитики (Enterprise),332500.00,29,95500.00
Интеграция микросервисной архитектуры на основе существующего решения,318000.00,22,113900.00
Разработка корпоративного портала с нуля,907500.00,92,420300.00
Сопровождение панели администратора на основе существующего решения,109000.00,14,48300.00
Сопровождение веб-приложения (POC),63000.00,6,19700.00
Проектирование платёжного модуля с нуля,233500.00,27,85700.00
Аудит системы мониторинга,192500.00,14,63300.00
Аудит базы данных (SaaS),259000.00,20,106300.00
Сопровождение мобильного приложения под ключ,93000.00,10,23300.00
Сопровождение API-сервиса с нуля,137500.00,14,55500.00
Настройка базы данных (Enterprise),173500.00,18,59600.00
Аудит платёжного модуля с нуля,216000.00,18,57700.00
Сопровождение сети доставки контента на основе существующего решения,136000.00,14,59600.00
Сопровождение системы резервного копирования под ключ,141500.00,18,54100.00
Развёртывание панели администратора (POC),445000.00,32,126600.00
Миграция API-сервиса с нуля,527500.00,43,163900.00
Внедрение сети доставки контента на основе существующего решения,1307500.00,107,647500.00
Оптимизация DevOps-пайплайна (SaaS),244000.00,23,81500.00
Настройка системы резервного копирования,156000.00,15,52700.00
Миграция системы аналитики (Enterprise),325500.00,25,121600.00
Сопровождение API-сервиса с нуля,83500.00,7,33500.00
Настройка базы данных (Enterprise),38000.00,4,17300.00
Настройка базы данных с нуля,108000.00,12,49700.00
Интеграция системы мониторинга с нуля,829000.00,106,362000.00
Развёртывание панели администратора (POC),536500.00,48,249600.00
Консультация системы аутентификации,20000.00,1,9400.00
Внедрение ERP-системы (MVP),560500.00,53,152600.00
Аудит системы резервного копирования с нуля,188000.00,24,86700.00
Настройка мобильного приложения под ключ,185500.00,15,74400.00
Развёртывание мобильного приложения,313500.00,40,108900.00
Миграция базы данных,623000.00,70,274500.00
Аудит базы данных (MVP),284500.00,36,110800.00
Разработка системы аналитики,1001500.00,82,485100.00
Консультация DevOps-пайплайна под ключ,33000.00,3,8400.00
Настройка облачной инфраструктуры под ключ,65000.00,5,24600.00
Проектирование микросервисной архитектуры (Enterprise),354500.00,36,172500.00
Оптимизация панели администратора с нуля,54500.00,6,18300.00
Сопровождение чат-бота с нуля,11000.00,1,3100.00
Консультация платёжного модуля (MVP),25000.00,2,9700.00
Сопровождение API-сервиса (SaaS),124500.00,14,45300.00
Аудит системы управления задачами (POC),134500.00,11,55900.00
Внедрение платёжного модуля на основе существующего решения,1379000.00,115,608100.00
Настройка системы резервного копирования (Enterprise),36500.00,4,12000.00
Внедрение системы аутентификации (SaaS),145000.00,13,57900.00
Оптимизация веб-приложения с нуля,162500.00,11,66700.00
Миграция веб-приложения (MVP),78000.00,7,35700.00
Внедрение нагрузочного тестирования под ключ,968500.00,94,465500.00
Миграция облачной инфраструктуры на основе существующего решения,484000.00,37,239300.00
Настройка платёжного модуля (MVP),60500.00,5,25500.00
Разработка чат-бота (SaaS),1293000.00,121,479300.00
Интеграция CRM-системы,396500.00,31,165100.00
Миграция облачной инфраструктуры (Enterprise),469500.00,33,201500.00
Проектирование платёжного модуля (POC),76500.00,9,36300.00
Интеграция системы аналитики (Enterprise),802500.00,83,303200.00
Миграция DevOps-пайплайна с нуля,263500.00,34,116600.00
Миграция платёжного модуля (Enterprise),782500.00,91,390200.00
Внедрение нагрузочного тестирования (POC),699500.00,79,314100.00
Разработка системы аутентификации (SaaS),1120500.00,81,294200.00
Консультация базы данных на основе существующего решения,14500.00,2,7000.00
Сопровождение CRM-системы с нуля,104000.00,8,32000.00
Сопровождение API-сервиса на основе существующего решения,40500.00,3,14600.00
Миграция панели администратора (POC),896000.00,106,427900.00
Сопровождение системы управления задачами,120500.00,10,30500.00
Сопровождение системы аналитики,84000.00,8,26900.00
Тестирование сети доставки контента (POC),377000.00,40,164100.00
Внедрение DevOps-пайплайна (MVP),1398500.00,141,525500.00
Настройка системы аналитики на основе существующего решения,119000.00,12,52600.00
Интеграция CRM-системы (SaaS),1129000.00,108,514500.00
Тестирование системы резервного копирования (MVP),272500.00,24,92500.00
Аудит чат-бота (SaaS),187500.00,17,74500.00
Миграция микросервисной архитектуры с нуля,647000.00,59,289100.00
Аудит чат-бота с нуля,200000.00,15,96400.00
Тестирование чат-бота на основе существующего решения,367500.00,47,126700.00
Оптимизация микросервисной архитектуры (POC),341000.00,39,136000.00
Проектирование микросервисной архитектуры на основе существующего решения,642500.00,60,199900.00
Аудит системы резервного копирования (POC),72000.00,9,20400.00
Разработка корпоративного портала с нуля,1181000.00,102,390300.00
Проектирование микросервисной архитектуры под ключ,778500.00,64,210500.00
Тестирование CRM-системы (SaaS),368500.00,45,160300.00
Интеграция системы резервного копирования на основе существующего решения,64000.00,7,28600.00
Сопровождение корпоративного портала,23500.00,2,6200.00
Аудит системы управления задачами,76000.00,8,25000.00
Оптимизация панели администратора (Enterprise),213500.00,23,91100.00
Настройка микросервисной архитектуры с нуля,162500.00,15,60300.00
Развёртывание системы аналитики,451500.00,39,132800.00
Аудит CRM-системы,129000.00,14,63800.00
Разработка нагрузочного тестирования на основе существующего решения,1881500.00,190,830000.00
Аудит ERP-системы (MVP),106000.00,13,47200.00
Проектирование системы мониторинга (SaaS),512500.00,43,151600.00
Оптимизация сети доставки контента с нуля,412000.00,44,179200.00
Аудит ERP-системы (POC),268500.00,27,101300.00
Аудит панели администратора с нуля,158000.00,19,47500.00
Аудит CRM-системы (SaaS),67000.00,8,21600.00
Внедрение ERP-системы,1447500.00,146,485400.00
Проектирование нагрузочного тестирования (POC),776000.00,66,375400.00
Развёртывание нагрузочного тестирования (Enterprise),515000.00,40,243900.00
Аудит чат-бота (Enterprise),179500.00,15,86300.00
Интеграция DevOps-пайплайна,821500.00,96,244700.00
Консультация платёжного модуля на основе существующего решения,43000.00,4,20400.00
Аудит веб-приложения (MVP),135000.00,17,49100.00
Тестирование системы аналитики с нуля,69000.00,5,27700.00
Консультация микросервисной архитектуры (Enterprise),51000.00,5,15300.00
Внедрение CRM-системы под ключ,1160500.00,128,396100.00
Интеграция чат-бота (MVP),1194000.00,107,359300.00
Проектирование базы данных на основе существующего решения,228500.00,23,86600.00
Сопровождение микросервисной архитектуры (POC),10500.00,1,3100.00
Внедрение системы мониторинга,803000.00,76,386200.00
Интеграция облачной инфраструктуры с нуля,379000.00,47,113300.00
Разработка платёжного модуля (SaaS),184000.00,17,66800.00
Аудит чат-бота на основе существующего решения,197500.00,17,89900.00
Консультация сети доставки контента на основе существующего решения,58000.00,7,24100.00
Консультация DevOps-пайплайна (SaaS),52500.00,5,22900.00
Внедрение базы данных (POC),621500.00,58,216100.00
Консультация системы управления задачами,66500.00,7,24200.00
Сопровождение облачной инфраструктуры (SaaS),66000.00,8,27100.00
Оптимизация веб-приложения,338000.00,28,96900.00
Развёртывание базы данных с нуля,96000.00,8,42600.00
Оптимизация системы управления задачами (MVP),254500.00,24,110700.00
Сопровождение нагрузочного тестирования,16000.00,2,6900.00
Проектирование облачной инфраструктуры (Enterprise),145000.00,11,62500.00
Сопровождение ERP-системы (POC),45000.00,4,12800.00
Оптимизация нагрузочного тестирования с нуля,385500.00,32,123400.00
Сопровождение ERP-системы под ключ,31500.00,4,15500.00
Интеграция базы данных (SaaS),650000.00,50,265500.00
Консультация базы данных,78000.00,9,22600.00
Миграция системы мониторинга (POC),46000.00,6,17700.00
Внедрение корпоративного портала,553000.00,43,178500.00
Внедрение системы аналитики (POC),370000.00,37,177900.00
Тестирование мобильного приложения (POC),275000.00,30,128100.00
Проектирование базы данных с нуля,577000.00,69,189400.00
Интеграция системы аутентификации,1137000.00,130,346400.00
Внедрение нагрузочного тестирования (SaaS),1022000.00,106,422000.00
Интеграция базы данных с нуля,693000.00,66,278400.00
Оптимизация сети доставки контента (Enterprise),388000.00,34,140600.00
Разработка ERP-системы под ключ,1794500.00,144,551100.00
Оптимизация ERP-системы (Enterprise),443000.00,57,199000.00
Развёртывание мобильного приложения под ключ,101500.00,11,26800.00
Настройка облачной инфраструктуры (MVP),23500.00,2,11500.00
Аудит системы управления задачами (SaaS),41000.00,5,19900.00
Сопровождение системы мониторинга под ключ,54000.00,7,25100.00
Миграция панели администратора (SaaS),811500.00,84,398900.00
Сопровождение мобильного приложения под ключ,134500.00,17,50400.00
Интеграция облачной инфраструктуры (POC),293000.00,26,107200.00
Проектирование системы аналитики под ключ,187000.00,24,62300.00
Интеграция системы мониторинга (POC),535000.00,65,222400.00
Интеграция сети доставки контента (SaaS),587000.00,56,199500.00
Разработка системы резервного копирования под ключ,611500.00,73,253100.00
Развёртывание CRM-системы (MVP),524500.00,38,182400.00
Оптимизация сети доставки контента с нуля,44000.00,5,13100.00
Консультация системы аутентификации (SaaS),45000.00,5,15400.00
Внедрение DevOps-пайплайна с нуля,1350500.00,161,522000.00
Настройка ERP-системы (Enterprise),117000.00,9,49500.00
Развёртывание системы мониторинга (POC),186000.00,21,80700.00
Аудит мобильного приложения на основе существующего решения,188500.00,24,82900.00
Настройка панели администратора (SaaS),54000.00,4,19100.00
Аудит корпоративного портала с нуля,36000.00,4,17600.00
Оптимизация системы аналитики под ключ,201000.00,18,77400.00
Оптимизация панели администратора (SaaS),432000.00,49,140200.00
Аудит системы управления задачами (MVP),250000.00,25,123400.00
Оптимизация корпоративного портала на основе существующего решения,75000.00,7,33500.00
Аудит мобильного приложения,169000.00,19,66200.00
Аудит системы управления задачами (SaaS),167500.00,12,47300.00
Оптимизация CRM-системы (Enterprise),314000.00,24,148900.00
Консультация веб-приложения под ключ,36000.00,3,15800.00
Тестирование DevOps-пайплайна (MVP),189500.00,21,48900.00
Развёртывание мобильного приложения (Enterprise),293500.00,37,117100.00
Настройка облачной инфраструктуры с нуля,186000.00,15,66900.00
Сопровождение базы данных (POC),116000.00,13,54600.00
Внедрение системы мониторинга (POC),900000.00,110,379700.00
Настройка DevOps-пайплайна,23500.00,3,6200.00
Разработка базы данных с нуля,801000.00,62,287800.00
Оптимизация мобильного приложения с нуля,386000.00,28,162300.00
Развёртывание веб-приложения (MVP),49500.00,6,14100.00
Миграция мобильного приложения под ключ,752500.00,64,346700.00
Миграция системы мониторинга,264000.00,33,70500.00
Миграция чат-бота (POC),406000.00,45,144600.00
Проектирование системы резервного копирования с нуля,347500.00,34,167500.00
Тестирование CRM-системы (POC),291000.00,34,77000.00
Разработка API-сервиса (MVP),306500.00,32,150900.00
Оптимизация мобильного приложения,179000.00,16,85300.00
Развёртывание веб-приложения (Enterprise),169000.00,13,60400.00
Настройка системы аутентификации (Enterprise),29000.00,4,11300.00
Тестирование сети доставки контента,26000.00,3,8300.00
Развёртывание нагрузочного тестирования под ключ,418000.00,41,191700.00
Оптимизация CRM-системы (SaaS),26000.00,3,10400.00
Разработка системы аутентификации (POC),1191500.00,139,446700.00
Аудит API-сервиса (POC),86000.00,9,36900.00
Тестирование платёжного модуля на основе существующего решения,49000.00,6,24400.00
Настройка системы управления задачами,110000.00,11,37800.00
Тестирование облачной инфраструктуры с нуля,126000.00,10,55200.00
Настройка CRM-системы,84000.00,10,21900.00
Миграция чат-бота,49500.00,5,19000.00
Аудит нагрузочного тестирования (MVP),204000.00,25,74200.00
Аудит системы аутентификации (POC),280500.00,35,77400.00
Развёртывание ERP-системы,215500.00,20,58500.00
Проектирование системы аутентификации под ключ,558500.00,63,147000.00
Разработка API-сервиса,192000.00,19,58200.00
Аудит API-сервиса с нуля,124000.00,11,61700.00
Тестирование ERP-системы на основе существующего решения,207500.00,21,59400.00
Настройка корпоративного портала (Enterprise),77000.00,7,33700.00
Оптимизация системы мониторинга (Enterprise),180500.00,14,81000.00
Аудит системы резервного копирования с нуля,264000.00,31,84100.00
Настройка системы аналитики,154500.00,19,60300.00
Аудит CRM-системы (POC),52500.00,4,15100.00
Сопровождение веб-приложения (MVP),11000.00,1,2800.00
Проектирование платёжного модуля (POC),540500.00,61,153400.00
Интеграция базы данных под ключ,992000.00,107,260200.00
Проектирование системы мониторинга на основе существующего решения,63500.00,8,27200.00
Разработка веб-приложения (SaaS),66000.00,6,19400.00
Интеграция панели администратора (MVP),505000.00,55,220900.00
Настройка системы резервного копирования на основе существующего решения,134500.00,15,47300.00
Аудит облачной инфраструктуры (MVP),72500.00,8,26900.00
Оптимизация мобильного приложения под ключ,224000.00,27,100700.00
Разработка системы аналитики (POC),792000.00,66,305500.00
Развёртывание CRM-системы с нуля,70500.00,9,23500.00
Разработка мобильного приложения под ключ,242500.00,31,66400.00
Настройка облачной инфраструктуры под ключ,139500.00,14,62200.00
Аудит ERP-системы,83500.00,8,25500.00
Сопровождение системы аутентификации (Enterprise),111000.00,14,45500.00
Развёртывание системы аналитики (POC),211000.00,25,58000.00
Тестирование системы аналитики (SaaS),55000.00,4,14700.00
Консультация ERP-системы (POC),59500.00,4,18700.00
Интеграция сети доставки контента с нуля,148000.00,16,39700.00
Настройка микросервисной архитектуры (SaaS),137000.00,14,62600.00
Оптимизация сети доставки контента (POC),34500.00,3,10400.00
Консультация микросервисной архитектуры (POC),64500.00,8,24400.00
Развёртывание мобильного приложения,315000.00,32,149000.00
Оптимизация облачной инфраструктуры (MVP),391000.00,38,187600.00
Аудит корпоративного портала (SaaS),239500.00,19,113800.00
Тестирование ERP-системы с нуля,106000.00,13,41700.00
Настройка системы мониторинга под ключ,80000.00,9,25500.00
Миграция ERP-системы (Enterprise),841500.00,83,391800.00
Консультация CRM-системы под ключ,66500.00,8,22800.00
Проектирование API-сервиса (Enterprise),83500.00,8,27000.00
Тестирование системы управления задачами (SaaS),93500.00,11,42500.00
Тестирование платёжного модуля (POC),303500.00,27,114200.00
Миграция CRM-системы (Enterprise),750500.00,72,347800.00
Разработка облачной инфраструктуры (POC),1819500.00,155,488200.00
Аудит ERP-системы (MVP),162000.00,16,79700.00
Разработка системы аутентификации на основе существующего решения,1797500.00,179,482500.00
Оптимизация сети доставки контента (Enterprise),400500.00,48,181100.00
Тестирование нагрузочного тестирования на основе существующего решения,174000.00,20,44500.00
Интеграция нагрузочного тестирования,538500.00,57,164700.00
Консультация сети доставки контента с нуля,16000.00,2,7100.00
Настройка мобильного приложения с нуля,50500.00,4,17400.00
Миграция панели администратора,828000.00,70,404200.00
Сопровождение DevOps-пайплайна,106500.00,8,51900.00
Консультация системы аналитики (MVP),40500.00,4,18500.00
Миграция сети доставки контента на основе существующего решения,892500.00,95,375600.00
Настройка нагрузочного тестирования под ключ,10000.00,1,3700.00
Разработка облачной инфраструктуры (MVP),447500.00,41,160600.00
Развёртывание сети доставки контента (MVP),122000.00,14,34800.00
Проектирование чат-бота (SaaS),355000.00,43,105400.00
Оптимизация мобильного приложения (Enterprise),437500.00,54,180500.00
Разработка системы резервного копирования (POC),1335500.00,136,411900.00
Миграция системы резервного копирования с нуля,65000.00,5,26700.00
Проектирование корпоративного портала (MVP),65000.00,7,17100.00
Внедрение сети доставки контента с нуля,559000.00,56,242000.00
Оптимизация CRM-системы (MVP),97000.00,12,38800.00
Сопровождение системы управления задачами (Enterprise),71000.00,8,18600.00
Интеграция DevOps-пайплайна на основе существующего решения,1122500.00,124,366600.00
Разработка панели администратора на основе существующего решения,1148500.00,123,360000.00
Сопровождение панели администратора на основе существующего решения,78000.00,8,23400.00
Тестирование нагрузочного тестирования (MVP),225000.00,25,104700.00
Проектирование DevOps-пайплайна,464500.00,34,224400.00
Сопровождение нагрузочного тестирования (MVP),116000.00,10,48700.00
Внедрение системы мониторинга с нуля,375000.00,36,124200.00
Миграция панели администратора на основе существующего решения,726500.00,78,186900.00
Интеграция микросервисной архитектуры (Enterprise),333000.00,40,104100.00
Интеграция корпоративного портала,447500.00,35,175800.00
Настройка веб-приложения под ключ,178500.00,13,78300.00
Развёртывание мобильного приложения (MVP),361500.00,46,93800.00
Внедрение DevOps-пайплайна (Enterprise),920500.00,86,432400.00
Развёртывание микросервисной архитектуры,385500.00,39,191400.00
Настройка CRM-системы на основе существующего решения,38500.00,3,10400.00
Аудит CRM-системы,188500.00,14,58300.00
Настройка нагрузочного тестирования,140000.00,14,52300.00
Аудит чат-бота на основе существующего решения,144000.00,17,39800.00
