name,cost,duration_days,prepayment
Оптимизация платёжного модуля под ключ,452500.00,49,137300.00
Разработка CRM-системы с нуля,883000.00,96,404800.00
Консультация системы мониторинга под ключ,63000.00,5,23000.00
Настройка чат-бота (SaaS),42500.00,3,11100.00
Интеграция системы мониторинга (POC),730000.00,76,194400.00
Разработка системы мониторинга (MVP),227000.00,21,111400.00
Тестирование системы аутентификации,92500.00,9,36700.00
Оптимизация платёжного модуля (MVP),305000.00,22,92300.00
Аудит системы управления задачами на основе существующего решения,30000.00,3,12900.00
Внедрение DevOps-пайплайна (Enterprise),1238500.00,153,510900.00
Сопровождение системы аутентификации под ключ,58500.00,6,28900.00
Тестирование сети доставки контента,136000.00,16,41100.00
Развёртывание нагрузочного тестирования на основе существующего решения,209500.00,27,90700.00
Сопровождение мобильного приложения (POC),67000.00,8,18700.00
Аудит микросервисной архитектуры,60500.00,5,24200.00
Настройка DevOps-пайплайна под ключ,179500.00,16,67300.00
Тестирование базы данных (Enterprise),180000.00,19,88800.00
Аудит системы мониторинга,189000.00,21,72300.00
Настройка облачной инфраструктуры (MVP),184000.00,22,61200.00
Миграция облачной инфраструктуры (POC),183500.00,14,54800.00
Консультация нагрузочного тестирования на основе существующего решения,61000.00,5,18100.00
Сопровождение чат-бота (POC),23000.00,2,10700.00
Миграция чат-бота под ключ,158000.00,18,77400.00
Консультация DevOps-пайплайна (MVP),73000.00,8,30300.00
Сопровождение CRM-системы на основе существующего решения,29000.00,4,13100.00
Консультация облачной инфраструктуры (Enterprise),73500.00,9,25100.00
Проектирование облачной инфраструктуры,167500.00,15,72300.00
Тестирование микросервисной архитектуры (POC),211500.00,21,80000.00
Настройка CRM-системы,184500.00,19,81000.00
Оптимизация ERP-системы (POC),91500.00,10,40800.00
Консультация системы мониторинга с нуля,32000.00,3,9500.00
Миграция системы мониторинга на основе существующего решения,813500.00,69,215300.00
Настройка системы резервного копирования на основе существующего решения,196500.00,20,84500.00
Интеграция чат-бота,641000.00,77,296200.00
Сопровождение DevOps-пайплайна на основе существующего решения,54500.00,5,18200.00
Сопровождение ERP-системы (MVP),84500.00,8,26400.00
Развёртывание облачной инфраструктуры с нуля,215500.00,24,73000.00
Настройка системы аналитики (SaaS),119000.00,12,45200.00
Разработка системы аутентификации на основе существующего решения,601500.00,55,180500.00
Оптимизация системы аутентификации на основе существующего решения,307500.00,36,103200.00
Настройка сети доставки контента (Enterprise),38500.00,4,18400.00
Интеграция корпоративного портала (SaaS),158500.00,14,40700.00
Внедрение DevOps-пайплайна с нуля,398500.00,51,117200.00
Консультация панели администратора,67500.00,5,32600.00
Интеграция DevOps-пайплайна под ключ,405000.00,31,109700.00
Разработка мобильного приложения на основе существующего решения,658000.00,85,278900.00
Настройка облачной инфраструктуры (SaaS),40500.00,5,20000.00
Миграция системы мониторинга,421500.00,45,207000.00
Аудит API-сервиса с нуля,19000.00,2,6500.00
Проектирование системы аутентификации с нуля,96000.00,8,41900.00
Внедрение облачной инфраструктуры с нуля,1222500.00,147,582900.00
Настройка CRM-системы с нуля,188500.00,18,54100.00
Аудит чат-бота,66000.00,8,30700.00
Тестирование микросервисной архитектуры (SaaS),211500.00,17,96100.00
Проектирование API-сервиса,179500.00,15,79700.00
Аудит панели администратора (POC),202500.00,16,87200.00
Интеграция системы мониторинга на основе существующего решения,192500.00,15,56500.00
Миграция облачной инфраструктуры с нуля,88000.00,11,24400.00
Настройка ERP-системы под ключ,21500.00,2,7800.00
Миграция чат-бота (Enterprise),404000.00,50,105200.00
Разработка сети доставки контента (Enterprise),1967000.00,196,574600.00
Миграция CRM-системы (MVP),854000.00,76,356500.00
Сопровождение системы резервного копирования (Enterprise),14500.00,2,5800.00
Развёртывание системы аутентификации с нуля,97500.00,9,42100.00
Оптимизация панели администратора (MVP),172500.00,18,44900.00
Внедрение системы аутентификации под ключ,1299500.00,106,518300.00
Настройка сети доставки контента под ключ,41000.00,4,20000.00
Консультация системы мониторинга (Enterprise),42000.00,5,20400.00
Оптимизация системы резервного копирования (SaaS),360000.00,30,167200.00
Внедрение микросервисной архитектуры (SaaS),764000.00,76,199600.00
Настройка сети доставки контента (POC),140000.00,18,57800.00
Проектирование ERP-системы (SaaS),699000.00,51,235300.00
Проектирование панели администратора (MVP),360000.00,30,168500.00
Оптимизация системы аналитики с нуля,43500.00,5,20800.00
Сопровождение API-сервиса под ключ,131500.00,11,44000.00
Проектирование мобильного приложения под ключ,668500.00,48,231100.00
Настройка нагрузочного тестирования под ключ,157500.00,20,41400.00
Интеграция корпоративного портала (SaaS),1150000.00,124,494900.00
Интеграция базы данных под ключ,1095500.00,120,354500.00
Миграция API-сервиса под ключ,541500.00,43,243700.00
Аудит панели администратора с нуля,50500.00,5,15800.00
Проектирование сети доставки контента с нуля,233000.00,28,95500.00
Настройка панели администратора (POC),24000.00,2,7700.00
Внедрение платёжного модуля,1471000.00,117,541900.00
Разработка ERP-системы с нуля,836500.00,60,246900.00
Разработка платёжного модуля (Enterprise),1369000.00,143,629600.00
Проектирование чат-бота (MVP),775000.00,89,372000.00
Миграция DevOps-пайплайна (SaaS),720000.00,60,334200.00
Проектирование микросервисной архитектуры (MVP),137000.00,11,45100.00
Интеграция DevOps-пайплайна (POC),743000.00,67,236900.00
Настройка мобильного приложения (POC),42000.00,3,15200.00
Развёртывание веб-приложения (SaaS),405000.00,51,126900.00
Настройка системы мониторинга (SaaS),185500.00,21,90200.00
Аудит веб-приложения (POC),118500.00,8,47100.00
Развёртывание ERP-системы (POC),372500.00,29,179200.00
Консультация панели администратора (POC),49000.00,4,13700.00
Оптимизация API-сервиса под ключ,362000.00,38,151100.00
Оптимизация чат-бота под ключ,200500.00,14,87400.00
Сопровождение мобильного приложения (Enterprise),149500.00,14,70900.00
Проектирование чат-бота с нуля,618000.00,71,226400.00
Аудит чат-бота под ключ,271000.00,29,113600.00
Интеграция микросервисной архитектуры (Enterprise),344000.00,33,103900.00
Внедрение нагрузочного тестирования,1389000.00,146,682100.00
Аудит чат-бота с нуля,197000.00,25,95500.00
Консультация микросервисной архитектуры,78000.00,8,36900.00
Интеграция нагрузочного тестирования,296500.00,33,80100.00
Сопровождение мобильного приложения под ключ,45500.00,3,11400.00
Аудит чат-бота с нуля,176500.00,16,71600.00
Развёртывание платёжного модуля (MVP),474500.00,39,126200.00
Внедрение веб-приложения (Enterprise),1168500.00,151,424100.00
Аудит системы аутентификации с нуля,51000.00,4,19900.00
Оптимизация микросервисной архитектуры (Enterprise),93500.00,10,28700.00
Сопровождение платёжного модуля,18500.00,2,6700.00
Внедрение системы мониторинга (SaaS),1079500.00,81,303900.00
Разработка системы аналитики (POC),1661000.00,140,686400.00
Миграция нагрузочного тестирования,651500.00,61,211300.00
Оптимизация системы аутентификации (POC),173500.00,12,70500.00
Внедрение базы данных (POC),1478000.00,126,515400.00
Разработка ERP-системы,183000.00,24,55200.00
Консультация CRM-системы,18500.00,2,6300.00
Миграция базы данных под ключ,481000.00,59,232200.00
Развёртывание API-сервиса на основе существующего решения,143000.00,17,61700.00
Сопровождение сети доставки контента с нуля,91500.00,8,30300.00
Аудит базы данных,283500.00,34,98500.00
Настройка корпоративного портала с нуля,17000.00,2,8100.00
Сопровождение веб-приложения,14500.00,2,4800.00
Разработка системы мониторинга (SaaS),551000.00,52,147200.00
Тестирование платёжного модуля с нуля,140500.00,11,43100.00
Разработка системы аналитики,1708500.00,137,723100.00
Тестирование системы резервного копирования (POC),339000.00,26,158200.00
Оптимизация облачной инфраструктуры (SaaS),124000.00,10,57500.00
Тестирование платёжного модуля (POC),334000.00,31,166300.00
Миграция системы аутентификации,868000.00,61,361900.00
Внедрение нагрузочного тестирования,755000.00,91,334000.00
Внедрение базы данных (MVP),444000.00,51,136400.00
Внедрение облачной инфраструктуры под ключ,869000.00,69,430200.00
Проектирование сети доставки контента (Enterprise),53000.00,4,14300.00
Оптимизация системы аутентификации (SaaS),230000.00,29,110400.00
Миграция системы аналитики (SaaS),186500.00,15,83500.00
Консультация системы мониторинга (SaaS),38000.00,5,12500.00
Интеграция чат-бота с нуля,422000.00,38,187900.00
Внедрение веб-приложения (POC),229500.00,30,113700.00
Сопровождение CRM-системы на основе существующего решения,45000.00,5,14400.00
Аудит базы данных с нуля,35500.00,3,13100.00
Интеграция нагрузочного тестирования (POC),104500.00,12,34800.00
Тестирование платёжного модуля (SaaS),63000.00,7,25000.00
Развёртывание чат-бота (MVP),79500.00,8,30600.00
Тестирование корпоративного портала с нуля,251500.00,29,118600.00
Тестирование системы мониторинга с нуля,220000.00,19,60300.00
Сопровождение чат-бота,107500.00,11,50200.00
Проектирование платёжного модуля (POC),676000.00,59,204000.00
Проектирование системы мониторинга с нуля,155000.00,18,55800.00
Разработка ERP-системы с нуля,914500.00,70,447400.00
Настройка ERP-системы (POC),182000.00,16,83900.00
Разработка системы аналитики с нуля,990500.00,78,267800.00
Аудит чат-бота (SaaS),207000.00,23,70400.00
Сопровождение платёжного модуля (Enterprise),87000.00,9,40100.00
Проектирование ERP-системы под ключ,72000.00,6,27300.00
Сопровождение CRM-системы (MVP),136500.00,11,64400.00
